Disease_UMLSID	MeSH Disease Terms 
C0399523	Malocclusion, Angle Class I
C0400821	Colitis, Microscopic
C0400877	Postoperative ileus
C0400968	Liver transplant rejection
C0401160	Chemotherapy-induced nausea and vomiting
C0403447	Renal Insufficiency, Chronic
C0403529	Anti-Glomerular Basement Membrane Disease
C0403643	Bladder muscle dysfunction - overactive
C0403823	Asthenozoospermia
C0405124	Nuchal Cord
C0405580	Adrenal cortical hypofunction
C0406317	Chronic small plaque psoriasis
C0406326	Scalp psoriasis
C0406486	Ocular Rosacea
C0406526	Neuropathic diabetic ulcer - foot
C0406810	Carney Complex
C0409818	Chronic Infantile Neurological, Cutaneous, and Articular Syndrome
C0409959	Osteoarthritis, Knee
C0410065	Dupuytren's disease of finger, with contracture
C0412842	Poisoning by iron AND/OR its compounds
C0412850	Poisoning by opiate analgesic drug
C0413194	Ethylene glycol poisoning (disorder)
C0421162	Meningococcus carrier
C0423234	Punctate keratopathy
C0423673	Pain in spine
C0423772	Cutaneous Fistula
C0423775	Scurfiness of scalp
C0423909	Memory, Long-Term
C0424295	Hyperkinesis
C0424620	Excess subcutaneous fat
C0426639	Incomplete passage of stool
C0428974	Supraventricular arrhythmia
C0428977	Bradycardia
C0451641	Urolithiasis
C0456103	Sepsis of the newborn
C0456107	Neonatal meningitis
C0456909	Blindness
C0458219	Complex Regional Pain Syndromes
C0473527	Hypoalphalipoproteinemias
C0473780	Thrombocytopenia, Neonatal Alloimmune
C0474368	Labor Pain
C0475072	Cerebral Hemorrhage, Traumatic
C0475811	Disorder of keratinization
C0476089	Endometrial Carcinoma
C0476254	Dyslexia
C0494475	Tonic - clonic seizures
C0497327	Dementia
C0497406	Overweight
C0497552	Nervous System Malformations
C0519030	Pneumonia due to Klebsiella pneumoniae
C0520459	Enterocolitis, Necrotizing
C0520577	Urethral atrophy
C0520676	Premenstrual Dysphoric Disorder
C0520679	Sleep Apnea, Obstructive
C0520767	Staphylococcal endocarditis
C0520775	Klebsiella cystitis
C0520777	Chlamydial pelvic inflammatory disease
C0520909	Postoperative Nausea and Vomiting
C0521170	Osteoporotic Fractures
C0524620	Metabolic Syndrome X
C0524637	Recognition (Psychology)
C0524662	Opiate Addiction
C0524688	Pneumonic Plague
C0524702	Pulmonary Thromboembolisms
C0524801	Retinal Neoplasms
C0524851	Neurodegenerative Diseases
C0524909	Hepatitis B, Chronic
C0524910	Hepatitis C, Chronic
C0525043	Reactive Attachment Disorder
C0525045	Mood Disorders
C0542269	Non-Q wave myocardial infarction
C0543878	Choreatic Disorders
C0546127	Mercury Poisoning, Nervous System
C0546837	Malignant neoplasm of esophagus
C0546999	Larva Migrans, Cutaneous
C0549315	Hydatidiform mole, benign
C0549398	Meibomianitis
C0549567	Pigmentation Disorders
C0553580	Ewings sarcoma
C0553604	Myotonic Disorders
C0553662	Arthritis, Juvenile Rheumatoid
C0553730	Chondrocalcinosis
C0553757	Olfaction Disorders
C0554628	Streptococcus pyogenes infection
C0555198	Malignant Glioma
C0558595	Uric acid renal calculus
C0559469	Egg Hypersensitivity
C0559470	Peanut Hypersensitivity
C0564750	Peripheral arterial embolism
C0568062	Methotrexate poisoning
C0572583	Antimetabolite overdose
C0573789	Heparin overdose
C0574960	Sacroiliitis
C0577620	Nut Hypersensitivity
C0577628	Latex Hypersensitivity
C0577690	Proteus septicemia
C0577708	Escherichia coli urinary tract infection
C0577709	Proteus urinary tract infection
C0578870	Chronic idiopathic urticaria
C0581358	Gastric spasm (disorder)
C0581377	Decompensated cardiac failure
C0581392	Exacerbation of multiple sclerosis
C0581883	Deafness
C0585362	Squamous cell carcinoma of mouth
C0585442	Osteosarcoma of bone
C0586323	Alcohol Withdrawal Seizures
C0588233	Septicemia due to enterococcus
C0596170	Bulimia Nervosa
C0596298	Cerebrovascular Occlusion
C0598608	Hyperhomocysteinemia
C0600041	Infective cystitis
C0600142	Hot flushes
C0600177	Low Cardiac Output Syndrome
C0600260	Lung Diseases, Obstructive
C0600433	Activated Protein C Resistance
C0600467	Neurogenic Inflammation
C0600498	Anticipation, Genetic
C0600502	Hemostatic Disorders
C0600503	Coagulation Protein Disorders
C0600518	Choroidal Neovascularization
C0677050	Manganese Poisoning
C0677607	Hashimoto Disease
C0678222	Breast Carcinoma
C0678236	Rare Diseases
C0679105	Pleasure
C0680727	Negotiating
C0683253	Resilience, Psychological
C0684256	Bacterial sepsis
C0686068	Secondary malignant neoplasm of stomach
C0686353	Muscular Dystrophies, Limb-Girdle
C0686510	Carcinoma in situ of adrenal cortex
C0687148	Mineral deficiency
C0687720	Diabetes Insipidus, Neurogenic
C0700053	Idiopathic hypertrophic subaortic stenosis
C0700345	Candidiasis, Vulvovaginal
C0700359	Organophosphate poisoning
C0700595	Spinal Muscular Atrophies of Childhood
C0700639	Pyloric Stenosis, Hypertrophic
C0701163	Adrenogenital disorder
C0701818	Choledocholithiasis
C0729524	Bacterial urinary infection
C0729586	Infective otitis media
C0729587	Infective blepharitis
C0730274	Vitreomacular traction syndrome
C0730285	Diabetic macular edema
C0730607	Severe chronic obstructive pulmonary disease
C0733682	Hypophosphatemic Rickets, X-Linked Dominant
C0740340	Amyloidosis, Familial
C0740392	Infarction, Middle Cerebral Artery
C0740394	Hyperuricemia
C0740447	Diabetic peripheral neuropathy
C0741292	Paroxysmal atrial flutter
C0742343	Acute Chest Syndrome
C0744130	Diabetic foot infection
C0744451	GONOCOCCAL INFECTION DISSEMINATED
C0744896	Intractable hiccups
C0745136	Hypertensive emergency
C0745138	Hypertensive urgency
C0745528	Klebsiella sepsis
C0745744	End Stage Liver Disease
C0746683	MUSCULOSKELETAL PAIN CHRONIC
C0748196	PYELONEPHRITIS E COLI
C0748267	RENAL CALCULUS CALCIUM OXALATE
C0748540	Scleroderma, Limited
C0749794	Upper Extremity Deformities, Congenital
C0749955	URINARY TRACT INFECTION CITROBACTER
C0749958	URINARY TRACT INFECTION ENTEROCOCCUS
C0751072	Frontotemporal Lobar Degeneration
C0751122	Infantile Severe Myoclonic Epilepsy
C0751362	Narcolepsy-Cataplexy Syndrome
C0751422	Hereditary Autoinflammatory Diseases
C0751434	Classical phenylketonuria
C0751587	CADASIL
C0751651	Mitochondrial Diseases
C0751674	Lymphangioleiomyomatosis
C0751748	Hyperglycinemia, Nonketotic
C0751753	Carbamoyl-Phosphate Synthase I Deficiency Disease
C0751757	Hypersomnolence, Idiopathic
C0751778	Myoclonic Epilepsies, Progressive
C0751783	Lafora Disease
C0751792	Trauma, Nervous System
C0751799	Brain Hemorrhage, Traumatic
C0751813	Brain Injury, Chronic
C0751815	Carotid Artery, Internal, Dissection
C0751830	Gait Disorders, Neurologic
C0751837	Gait Ataxia
C0751859	Lead Poisoning, Nervous System
C0751861	Lead Poisoning, Nervous System, Childhood
C0751863	Lead Poisoning, Nervous System, Adult
C0751865	Alcohol-Induced Disorders, Nervous System
C0751870	Heredodegenerative Disorders, Nervous System
C0751895	Vasospasm, Intracranial
C0751911	Paraneoplastic Syndromes, Nervous System
C0751955	Brain Infarction
C0751967	Multiple Sclerosis, Relapsing-Remitting
C0751992	Fetal Weight
C0752138	Intracranial Arterial Diseases
C0752140	Intracranial Embolism
C0752143	Intracranial Thrombosis
C0752155	Central Nervous System Vascular Malformations
C0752160	Hemangioma, Cavernous, Central Nervous System
C0752294	Sleep Arousal Disorders
C0752308	Hypoxia-Ischemia, Brain
C0752332	Lupus Vasculitis, Central Nervous System
C0752347	Lewy Body Disease
C0752351	Embryo Loss
C0752352	Muscular Disorders, Atrophic
C0812413	Malignant Pleural Mesothelioma
C0836924	Thrombocytosis
C0848558	Hypospadias
C0849907	Itching of ear
C0851578	Sleep Disorders
C0852077	Blood Coagulation Disorders, Inherited
C0853852	Cystitis escherichia
C0853897	Diabetic Cardiomyopathies
C0854135	Pseudomonas aeruginosa infection
C0854211	Bacterial keratitis
C0854215	Bacterial meningitis due to Gram-negative bacteria
C0854248	Pneumonia due to Gram negative bacteria
C0854324	Haemophilus sepsis
C0854328	Infection due to anaerobic bacteria
C0854528	Endocarditis haemophilus
C0854723	Retinal Dystrophies
C0855095	Small Lymphocytic Lymphoma
C0856695	Acute exacerbation of chronic bronchitis
C0856761	Budd-Chiari Syndrome
C0857007	Hyperbilirubinemia, Neonatal
C0857177	Arthritic pains
C0857305	Purpura, Thrombocytopenic
C0857831	Moraxella catarrhalis pneumonia
C0857846	Legionella pneumophila pneumonia
C0860048	Septic arthritis haemophilus
C0860594	Malignant melanoma, metastatic
C0862889	Superficial basal cell carcinoma
C0865436	Meningitis due to Bacteroides
C0866125	Renal disease with edema NOS
C0870082	Hyperkeratosis
C0872084	Sarcopenia
C0877015	Pelvic Organ Prolapse
C0877131	Urinary tract infection fungal
C0877445	Candidemia
C0877633	Haemophilus parainfluenzae pneumonia
C0877792	Sleep Disorders, Circadian Rhythm
C0878544	Cardiomyopathies
C0887833	Carcinoma, Pancreatic Ductal
C0887976	Chlamydophila Infections
C0917796	Optic Atrophy, Hereditary, Leber
C0917798	Cerebral Ischemia
C0917801	Sleeplessness
C0919267	Ovarian Neoplasms
C0919532	Genomic Instability
C0919659	Oropharyngeal candidiasis
C0919737	Platelet aggregation inhibition
C0920269	Microsatellite Instability
C0920350	Thyroiditis, Autoimmune
C0935573	Theory of Mind
C0935584	Executive Function
C0936215	Vitamin B 6 Deficiency
C0936223	Metastatic Prostate Carcinoma
C0947622	Cholecystolithiasis
C0948008	Ischemic stroke
C0948031	Primary Graft Dysfunction
C0948089	Acute Coronary Syndrome
C0948163	Leukoaraiosis
C0948205	Infection caused by Enterobacter
C0948480	Coronary Restenosis
C0948840	Meningeal Leukemia
C0948896	Primary hypogonadism
C0949083	Nosocomial pneumonia
C0949313	Genetic Determinism
C0949628	Uniparental Disomy
C0949658	Cardiomyopathy, Hypertrophic, Familial
C0949664	Tauopathies
C0949690	Spondylarthritis
C0949691	Spondylarthropathies
C0949760	Personal Autonomy
C0950121	Denys-Drash Syndrome
C0950122	Frasier Syndrome
C0950123	Genetic Diseases, Inborn
C0950124	Papillomavirus Infections
C0993582	Arthritis, Experimental
C1096155	Macrophage Activation Syndrome
C1096254	Citrobacter sepsis
C1096258	Enterobacter pneumonia
C1096562	Peptostreptococcus infection
C1112209	Intraabdominal Infections
C1112631	Allergic keratoconjunctivitis
C1112709	non-gonococcal urethritis (NGU)
C1134719	Carcinoma, Ductal, Breast
C1135191	Heart Failure, Systolic
C1135196	Heart Failure, Diastolic
C1135868	Gestational Trophoblastic Neoplasms
C1136033	Mastocytosis, Cutaneous
C1136249	Mental Retardation, X-Linked
C1136321	HIV-Associated Lipodystrophy Syndrome
C1138434	Genetic Diseases, X-Linked
C1140680	Malignant neoplasm of ovary
C1142132	Carnitine deficiency
C1142166	Brugada Syndrome
C1145628	Autonomic Nervous System Diseases
C1175175	Severe Acute Respiratory Syndrome
C1176475	Carcinoma, Ductal
C1257806	Chromosomal Instability
C1257915	Intestinal Polyposis
C1257958	Glucose Metabolism Disorders
C1258104	Scleroderma, Diffuse
C1258215	Ileus
C1260880	Rhinorrhea
C1260899	Anemia, Diamond-Blackfan
C1260911	Infection by Pasteurella multocida
C1260915	Late latent syphilis
C1260917	Proteus pneumonia
C1261256	Pelvic inflammatory disease due to Mycoplasma hominis
C1261287	Constriction, Pathologic
C1261473	Sarcoma
C1262117	Fungal keratitis
C1262211	Diarrhoea predominant irritable bowel syndrome
C1263758	Female genital tract infection
C1263846	Attention Deficit Disorder with Hyperactivity
C1269683	Depressive Disorder, Major
C1272826	FIGO stage finding for vulvar carcinoma
C1273489	Asthma night-time symptoms
C1274321	Recurrent herpes simplex labialis
C1274323	Recurrent genital herpes simplex
C1274355	Streptococcal infection of skin
C1274469	Onychomycosis of fingernails
C1274470	Onychomycosis of toenails
C1274988	Drug-induced mucositis
C1275126	TNF receptor-associated periodic fever syndrome (TRAPS)
C1275317	Anaplastic large T-cell systemic malignant lymphoma
C1275684	Meibomian gland dysfunction
C1275687	Herpes zoster keratitis
C1276801	Infection due to Erysipelothrix rhusiopathiae (disorder)
C1278797	Postnatal infection
C1278807	Chlamydial urethritis
C1279247	Genitourinary tract infection
C1282500	Metastasis from malignant tumor of colon
C1283620	Sucrase-isomaltase deficiency, congenital
C1285261	Fetal Nutrition Disorders
C1290159	Subacute bursitis
C1292758	Precursor T-cell lymphoblastic lymphoma
C1303258	Acute ST segment elevation myocardial infarction (disorder)
C1305866	Body Weight
C1306214	ACTH-Secreting Pituitary Adenoma
C1306503	Hernia, Umbilical
C1306632	Primary malignant neoplasm of gastrointestinal tract
C1306710	Facial Asymmetry
C1318559	Fusospirochetal pharyngitis
C1318973	Staphylococcus aureus infection
C1319317	Squamous cell carcinoma of pharynx
C1319853	Asthma, Aspirin-Induced
C1320547	Allergic otitis externa
C1328252	Leishmaniasis, Mucocutaneous
C1328840	Autoimmune Lymphoproliferative Syndrome
C1333991	Lynch Syndrome II
C1336708	Testicular Germ Cell Tumor
C1384589	Tinea cruris
C1384600	Systemic onset juvenile chronic arthritis
C1384606	Dyspareunia
C1384666	Hearing Loss
C1398376	mixed; epileptic
C1444173	Arthropod bite wound
C1449861	Micronuclei, Chromosome-Defective
C1456784	Paranoid Disorders
C1458155	Breast Neoplasms
C1510455	Acrocephalosyndactylia
C1510471	Vitamin Deficiency
C1510502	Adenoma, Oxyphilic
C1524060	Psychology
C1527311	Brain Edema
C1527336	Sjogren's Syndrome
C1527348	Hypoxia, Brain
C1527383	Morphea
C1527407	Eosinophilic Pneumonia
C1535478	Granulomatosis infantiseptica
C1536085	Geographic Atrophy
C1561828	Anemia in chronic kidney disease
C1562029	Hormone receptor positive malignant neoplasm of breast
C1562430	Muscle spasticity of spinal origin
C1562543	Ocular histoplasmosis syndrome
C1562585	Leprosy, Multibacillary
C1562908	Leprosy, Paucibacillary
C1563054	Dapsone resistant mycobacterium leprae disease
C1563696	DNA Repair-Deficiency Disorders
C1563716	Thyroid Dysgenesis
C1565107	Headache Disorders, Secondary
C1565662	Renal Insufficiency, Acute
C1566590	Delayed Graft Function
C1568272	Tendinopathy
C1609538	Latent Tuberculosis
C1621958	Glioblastoma Multiforme
C1623040	Breastfeeding (mother)
C1632842	Complicated appendicitis
C1636205	Rhinocerebral phycomycosis
C1691228	Kidney Diseases, Cystic
C1692886	Arthritis, Bacterial
C1696708	Prehypertension
C1701940	Pneumonia, Ventilator-Associated
C1704231	Metastatic Malignant Neoplasm to the Leptomeninges
C1704373	Compulsive Personality Disorder
C1704431	Disorder of electrolytes
C1704436	Peripheral Arterial Disease
C1719906	Meningitis due to Klebsiella mobilis
C1720498	Toxoplasmosis associated with AIDS
C1720777	Functional Laterality
C1720797	Chronic Bacterial Prostatitis
C1720894	Male Urogenital Diseases
C1720983	Channelopathies
C1721093	DNA Degradation, Necrotic
C1739363	Prostatic Hyperplasia
C1739382	Chronic iron overload
C1739395	Takotsubo Cardiomyopathy
C1761609	Aspiration pneumonitis
C1800706	Idiopathic Pulmonary Fibrosis
C1827266	Decompensated chronic heart failure
C1827687	Chemotherapy-induced neutropenia
C1828079	Dementia associated with Parkinson's Disease
C1849508	EPILEPSY, PYRIDOXINE-DEPENDENT
C1868889	Irritable bowel syndrome characterized by constipation
C1955869	Malformations of Cortical Development
C1956089	Osteophyte
C1956346	Coronary artery disease
C1959620	Dihydropyrimidine Dehydrogenase Deficiency
C1959799	Calcium renal calculus
C1960397	Philadelphia chromosome-positive acute lymphoblastic leukemia
C1960398	HER2-positive carcinoma of breast
C1960764	Crohn's disease in remission
C1960924	Right-sided Staphylococcus aureus endocarditis
C1960925	Epidermal growth factor receptor positive non-small cell lung cancer
C1961099	Precursor T-Cell Lymphoblastic Leukemia-Lymphoma
C1961112	Heart Decompensation
C1961835	Gaucher Disease, Type 1
C1997322	Chlamydia trachomatis infection of genital structure
C1997728	Osteomyelitis due to Staphylococcus aureus
C1998329	Anemia due to chemotherapy
C2028293	Haemophilus influenzae type b infection
C2062454	Bacteroides empyema
C2062475	pharyngitis due to Haemophilus influenzae
C2062982	candidal peritonitis
C2215257	Acute postoperative pain
C2237660	Wet Macular Degeneration
C2239176	Liver carcinoma
C2242472	Infection of bone
C2267227	Bulimia Nervosa
C2267231	Chronic idiopathic neutropenia
C2316212	Cryopyrin-associated Periodic Syndromes
C2316304	Human epidermal growth factor 2 negative carcinoma of breast
C2316460	Pseudobulbar affect
C2349530	Pneumonia due to Staphylococcus aureus
C2349994	Tinea barbae
C2350236	Idiopathic Interstitial Pneumonias
C2350520	Olfactory Perception
C2350521	Taste Perception
C2363973	Chronic thromboembolic pulmonary hypertension
C2584877	Hereditary factor XIII A subunit deficiency
C2585890	Nonsquamous nonsmall cell neoplasm of lung
C2607914	Allergic rhinitis (disorder)
C2609414	Acute Kidney Injury
C2677857	Facial hyperpigmentation
C2697932	Loeys-Dietz Syndrome
C2711180	Influenza due to Influenza A virus
C2711256	Ischemic priapism
C2711653	Epilepsy characterized by intractable complex partial seizures
C2717792	Airway Remodeling
C2717899	Upper Extremity Deep Vein Thrombosis
C2717961	Thrombotic Microangiopathies
C2718024	Stroop Test
C2733595	Pulmonary Mycobacterium avium complex infection
C2751824	46, XY Disorders of Sex Development
C2887088	Sepsis due to Staphylococcus aureus
C2887096	Sepsis due to Pseudomonas
C2894027	Post traumatic osteoarthritis
C2919522	Congenital hemolytic uremic syndrome
C2931187	Nephropathic cystinosis
C2936258	Peri-Implantitis
C2936329	Asymptomatic Diseases
C2936349	Plaque, Amyloid
C2936350	Plaque, Atherosclerotic
C2936403	46, XX Disorders of Sex Development
C2936423	Echogenic Bowel
C2936781	Generalized Myotonia of Thomsen
C2937222	Chronic ulcerative proctitis
C2937225	Biotin deficiency disease
C2960008	Fungal septicemia
C2973725	Pulmonary arterial hypertension
C3163805	Malignant epithelial neoplasm of female breast
C3163829	Sepsis due to Gram negative bacteria
C3163899	Squamous cell carcinoma of nose
C3163939	Malignant epithelial neoplasm of thyroid
C3203356	Factor II deficiency
C3495559	Juvenile arthritis
C3536984	Vitamin D-Resistant Rickets, X-Linked
C3544321	Treatment-resistant schizophrenia
C3661921	Perioperative hypertension
C3665800	Streptococcal endocarditis
C3665869	Pseudomonas aeruginosa meningitis
C3697010	Ulcerative colitis in remission
C3698411	Asymptomatic left ventricular systolic dysfunction
C3854116	Lipodystrophy due to Human immunodeficiency virus infection and antiretroviral therapy
C3875286	Complex dyslipidemia
C3875321	Inflammatory dermatosis
C3898069	Osteolytic Lesions of Multiple Myeloma
C4038730	Asthma-chronic obstructive pulmonary disease overlap syndrome
C4083212	Alopecia, Male Pattern
